iter	Passed	Remaining
0	1	1017
1	1	803
2	2	745
3	2	702
4	3	686
5	4	674
6	4	666
7	5	660
8	6	665
9	6	661
10	7	689
11	8	699
12	9	687
13	9	677
14	10	667
15	10	660
16	11	654
17	11	649
18	12	640
19	13	638
20	13	631
21	14	634
22	15	639
23	15	639
24	16	638
25	17	637
26	17	634
27	18	630
28	18	628
29	19	626
30	19	623
31	20	623
32	21	623
33	22	627
34	22	629
35	23	627
36	23	624
37	24	623
38	25	620
39	25	617
40	26	614
41	26	612
42	27	611
43	28	610
44	28	610
45	29	612
46	30	612
47	30	610
48	31	608
49	31	607
50	32	605
51	33	605
52	33	605
53	34	603
54	35	602
55	35	601
56	36	602
57	37	601
58	37	601
59	38	600
60	38	599
61	39	597
62	40	595
63	40	594
64	41	596
65	42	597
66	42	598
67	43	602
68	44	605
69	45	606
70	46	608
71	47	610
72	48	612
73	48	611
74	49	611
75	50	612
76	51	614
77	52	616
78	52	616
79	53	617
80	54	616
81	55	617
82	55	617
83	56	616
84	57	616
85	58	617
86	58	618
87	59	619
88	60	620
89	61	620
90	62	620
91	62	620
92	63	620
93	64	619
94	64	618
95	65	618
96	66	619
97	67	620
98	68	619
99	68	619
100	69	619
101	70	619
102	71	619
103	71	618
104	72	619
105	73	621
106	74	622
107	75	623
108	76	623
109	76	622
110	77	621
111	78	619
112	78	617
113	79	615
114	79	614
115	80	613
116	81	612
117	81	612
118	82	610
119	83	610
120	83	606
121	84	605
122	84	603
123	85	601
124	85	599
125	86	597
126	86	595
127	87	594
128	88	594
129	88	593
130	89	592
131	89	591
132	90	589
133	91	588
134	91	586
135	92	584
136	92	583
137	93	581
138	93	580
139	94	578
140	94	578
141	95	578
142	96	577
143	96	576
144	97	574
145	98	573
146	98	572
147	99	571
148	99	569
149	100	567
150	100	566
151	101	565
152	101	564
153	102	563
154	103	563
155	104	563
156	104	561
157	105	560
158	105	559
159	106	557
160	106	556
161	107	555
162	107	553
163	108	552
164	108	550
165	109	549
166	110	549
167	110	548
168	111	548
169	112	546
170	112	545
171	113	544
172	113	542
173	114	541
174	114	540
175	115	539
176	115	537
177	116	536
178	117	539
179	118	539
180	119	538
181	119	537
182	120	536
183	120	534
184	121	533
185	121	532
186	122	530
187	122	529
188	123	528
189	123	527
190	124	526
191	125	526
192	125	525
193	126	523
194	126	522
195	127	521
196	127	520
197	128	519
198	128	518
199	129	516
200	129	515
201	130	514
202	130	513
203	131	513
204	132	513
205	133	512
206	133	512
207	134	512
208	135	511
209	135	510
210	136	509
211	136	508
212	137	507
213	137	505
214	138	504
215	138	504
216	139	504
217	140	504
218	141	503
219	141	502
220	142	501
221	142	499
222	143	498
223	143	497
224	144	496
225	144	495
226	145	494
227	145	493
228	146	493
229	147	493
230	147	492
231	148	491
232	148	490
233	149	489
234	149	488
235	150	487
236	150	485
237	151	484
238	151	483
239	152	482
240	152	481
241	153	480
242	154	480
243	154	479
244	155	479
245	156	478
246	156	477
247	157	476
248	157	475
249	158	474
250	158	474
251	159	473
252	159	472
253	160	471
254	161	470
255	161	470
256	162	469
257	163	469
258	163	468
259	164	468
260	165	467
261	165	466
262	166	465
263	166	464
264	167	463
265	167	462
266	168	461
267	168	461
268	169	460
269	170	460
270	170	459
271	171	458
272	171	457
273	172	456
274	172	456
275	173	455
276	174	454
277	174	453
278	175	452
279	175	452
280	176	451
281	177	451
282	177	450
283	178	449
284	178	448
285	179	447
286	179	446
287	180	446
288	180	445
289	181	444
290	181	443
291	182	442
292	183	441
293	183	441
294	184	440
295	184	439
296	185	439
297	186	439
298	187	439
299	187	438
300	188	437
301	189	437
302	189	436
303	190	435
304	191	435
305	192	435
306	192	434
307	193	434
308	193	433
309	194	432
310	194	432
311	195	431
312	196	430
313	196	429
314	197	428
315	198	428
316	198	428
317	199	427
318	199	426
319	200	426
320	201	425
321	201	424
322	202	424
323	202	423
324	203	422
325	204	422
326	204	421
327	205	421
328	206	420
329	206	420
330	207	419
331	208	418
332	208	417
333	209	417
334	209	416
335	210	415
336	210	415
337	211	414
338	212	413
339	212	413
340	213	412
341	214	412
342	214	411
343	215	410
344	216	410
345	216	409
346	217	408
347	217	408
348	218	407
349	219	406
350	220	406
351	220	406
352	221	405
353	222	405
354	222	404
355	223	403
356	223	402
357	224	402
358	224	401
359	225	400
360	225	400
361	226	399
362	227	399
363	228	398
364	228	398
365	229	397
366	230	397
367	230	396
368	231	395
369	231	395
370	232	394
371	233	393
372	233	392
373	234	392
374	235	392
375	235	391
376	236	390
377	237	390
378	237	389
379	238	388
380	238	387
381	239	387
382	239	386
383	240	385
384	241	385
385	241	384
386	242	384
387	243	384
388	244	383
389	244	382
390	245	382
391	245	381
392	246	380
393	246	379
394	247	379
395	248	378
396	249	378
397	249	377
398	250	377
399	250	376
400	251	375
401	252	375
402	252	374
403	253	373
404	253	372
405	254	372
406	254	371
407	255	370
408	256	369
409	256	369
410	257	369
411	258	368
412	259	368
413	259	367
414	260	367
415	260	366
416	261	365
417	262	364
418	262	364
419	263	363
420	264	363
421	264	362
422	265	362
423	266	361
424	266	360
425	267	360
426	267	359
427	268	358
428	269	358
429	269	357
430	270	356
431	271	356
432	271	356
433	272	355
434	273	354
435	273	354
436	274	353
437	274	352
438	275	352
439	276	351
440	276	350
441	277	349
442	277	349
443	278	348
444	279	348
445	279	347
446	280	346
447	280	346
448	281	345
449	282	344
450	282	344
451	283	343
452	283	342
453	284	342
454	285	341
455	285	341
456	286	340
457	287	339
458	287	339
459	288	338
460	288	337
461	289	337
462	290	336
463	290	335
464	291	335
465	292	334
466	292	334
467	293	333
468	294	333
469	294	332
470	295	331
471	296	331
472	296	330
473	297	330
474	298	329
475	299	329
476	300	329
477	301	328
478	301	328
479	302	327
480	303	327
481	303	326
482	304	325
483	304	325
484	305	324
485	306	323
486	306	323
487	307	322
488	308	322
489	309	321
490	309	321
491	310	320
492	311	320
493	311	319
494	312	318
495	313	318
496	314	317
497	314	317
498	315	316
499	316	316
500	316	315
501	317	314
502	318	314
503	318	313
504	319	312
505	319	312
506	320	311
507	321	311
508	321	310
509	322	309
510	323	309
511	323	308
512	324	308
513	325	307
514	325	306
515	326	306
516	326	305
517	327	304
518	328	304
519	328	303
520	329	303
521	330	302
522	331	302
523	331	301
524	332	300
525	332	300
526	333	299
527	334	298
528	334	297
529	335	297
530	335	296
531	336	296
532	337	295
533	338	295
534	338	294
535	339	293
536	340	293
537	340	292
538	341	292
539	342	291
540	342	290
541	343	290
542	344	289
543	344	289
544	345	288
545	346	288
546	347	287
547	347	286
548	348	286
549	348	285
550	349	284
551	350	284
552	350	283
553	351	283
554	352	282
555	352	281
556	353	281
557	354	280
558	355	280
559	355	279
560	356	278
561	356	278
562	357	277
563	358	276
564	358	276
565	359	275
566	360	274
567	360	274
568	361	273
569	361	272
570	362	272
571	363	271
572	363	271
573	364	270
574	365	269
575	365	269
576	366	268
577	367	268
578	367	267
579	368	266
580	369	266
581	369	265
582	370	264
583	370	264
584	371	263
585	372	262
586	372	262
587	373	261
588	374	261
589	375	260
590	375	260
591	376	259
592	376	258
593	377	257
594	377	257
595	378	256
